SISAIRE;;;;;;;;;;;;;;;;;
SABANA DE INFORMACIÓN DE SISAIRE;;;;;;;;;;;;;;;;;
Fecha de procesamiento :23/05/2026, 11:09:37 AM;;;;;;;;;;;;;;;;;
SECCION CONSULTA DE MEDICIONES;;;;;;;;;;;;;;;;;
REPORTE GENERADO ENTRE 2014-01-01 - 2026-03-31;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Estacion;Fecha inicial;Fecha final;PM2.5;;;;;;;;;;;;;;
KENNEDY;2025-12-05;;19.57083333;;;;;;;;;;;;;;
KENNEDY;2025-12-04;;18.34166667;;;;;;;;;;;;;;
KENNEDY;2025-12-03;;12.62916667;;;;;;;;;;;;;;
KENNEDY;2025-12-02;;8.92;;;;;;;;;;;;;;
KENNEDY;2025-12-01;;15.41363636;;;;;;;;;;;;;;
KENNEDY;2025-11-30;;20.97391304;;;;;;;;;;;;;;
KENNEDY;2025-11-29;;21.18333333;;;;;;;;;;;;;;
KENNEDY;2025-11-28;;16.95909091;;;;;;;;;;;;;;
KENNEDY;2025-11-27;;13.18333333;;;;;;;;;;;;;;
KENNEDY;2025-11-26;;11.90833333;;;;;;;;;;;;;;
KENNEDY;2025-11-25;;16.70416667;;;;;;;;;;;;;;
KENNEDY;2025-11-24;;19.01578947;;;;;;;;;;;;;;
KENNEDY;2025-11-23;;13.67083333;;;;;;;;;;;;;;
KENNEDY;2025-11-22;;27.42916667;;;;;;;;;;;;;;
KENNEDY;2025-11-21;;40.47083333;;;;;;;;;;;;;;
KENNEDY;2025-11-20;;27.375;;;;;;;;;;;;;;
KENNEDY;2025-11-19;;17.22083333;;;;;;;;;;;;;;
KENNEDY;2025-11-18;;17.32916667;;;;;;;;;;;;;;
KENNEDY;2025-11-17;;11.95416667;;;;;;;;;;;;;;
KENNEDY;2025-11-16;;13.75;;;;;;;;;;;;;;
KENNEDY;2025-11-15;;32.38636364;;;;;;;;;;;;;;
KENNEDY;2025-10-28;;20.1;;;;;;;;;;;;;;
KENNEDY;2025-10-27;;18.3952381;;;;;;;;;;;;;;
KENNEDY;2025-10-26;;7.72916667;;;;;;;;;;;;;;
KENNEDY;2025-10-25;;15.82916667;;;;;;;;;;;;;;
KENNEDY;2025-10-24;;14.98947368;;;;;;;;;;;;;;
KENNEDY;2025-10-23;;26.1173913;;;;;;;;;;;;;;
KENNEDY;2025-10-22;;19.32083333;;;;;;;;;;;;;;
KENNEDY;2025-10-21;;27.51666667;;;;;;;;;;;;;;
KENNEDY;2025-10-20;;21.13333333;;;;;;;;;;;;;;
KENNEDY;2025-10-19;;12.52916667;;;;;;;;;;;;;;
KENNEDY;2025-10-18;;13.58333333;;;;;;;;;;;;;;
KENNEDY;2025-10-17;;20.52916667;;;;;;;;;;;;;;
KENNEDY;2025-10-16;;20.32857143;;;;;;;;;;;;;;
KENNEDY;2025-10-15;;24.65416667;;;;;;;;;;;;;;
KENNEDY;2025-10-14;;17.16363636;;;;;;;;;;;;;;
KENNEDY;2025-10-13;;10.5875;;;;;;;;;;;;;;
KENNEDY;2025-10-12;;10.6875;;;;;;;;;;;;;;
KENNEDY;2025-10-11;;21.8125;;;;;;;;;;;;;;
KENNEDY;2025-10-10;;14.75416667;;;;;;;;;;;;;;
KENNEDY;2025-10-09;;19.8047619;;;;;;;;;;;;;;
KENNEDY;2025-10-08;;19.95;;;;;;;;;;;;;;
KENNEDY;2025-10-07;;19.28333333;;;;;;;;;;;;;;
KENNEDY;2025-10-06;;22.34166667;;;;;;;;;;;;;;
KENNEDY;2025-10-05;;8.425;;;;;;;;;;;;;;
KENNEDY;2025-10-04;;19.5625;;;;;;;;;;;;;;
KENNEDY;2025-10-03;;12.22916667;;;;;;;;;;;;;;
KENNEDY;2025-10-02;;10.2875;;;;;;;;;;;;;;
KENNEDY;2025-10-01;;9.23684211;;;;;;;;;;;;;;
KENNEDY;2025-09-30;;13.62631579;;;;;;;;;;;;;;
KENNEDY;2025-09-29;;16.65416667;;;;;;;;;;;;;;
KENNEDY;2025-09-28;;13.10833333;;;;;;;;;;;;;;
KENNEDY;2025-09-27;;16.7;;;;;;;;;;;;;;
KENNEDY;2025-09-26;;15.23333333;;;;;;;;;;;;;;
KENNEDY;2025-09-25;;9.64583333;;;;;;;;;;;;;;
KENNEDY;2025-09-24;;11.67083333;;;;;;;;;;;;;;
KENNEDY;2025-09-23;;15.96666667;;;;;;;;;;;;;;
KENNEDY;2025-09-22;;25.49583333;;;;;;;;;;;;;;
KENNEDY;2025-09-21;;10.73478261;;;;;;;;;;;;;;
KENNEDY;2025-09-20;;8.23333333;;;;;;;;;;;;;;
KENNEDY;2025-09-19;;16.19583333;;;;;;;;;;;;;;
KENNEDY;2025-09-18;;18.20416667;;;;;;;;;;;;;;
KENNEDY;2025-09-17;;24.43333333;;;;;;;;;;;;;;
KENNEDY;2025-09-16;;9.37083333;;;;;;;;;;;;;;
KENNEDY;2025-09-15;;9.0375;;;;;;;;;;;;;;
KENNEDY;2025-09-14;;12.80833333;;;;;;;;;;;;;;
KENNEDY;2025-09-13;;13.8;;;;;;;;;;;;;;
